title,author_name,date,likes,comments,categories_list,website_name
How To Pick A Career (That Actually Fits You),Tim Urban,4/11/18,73,356,[Life],Wait But Why?
Neuralink and the Brain's Magical Future,Tim Urban,4/20/17,48490,878,[Science],Wait But Why?
100 Block a Day,Tim Urban,10/21/16,35767,120,[Science],Wait But Why?
The Second Presidential Debate ,Tim Urban,10/10/16,5462,298,[Politics],Wait But Why?
SpaceX's Big Fucking Rocket - The Full Story ,Tim Urban,9/28/16,21582,616,[Tech],Wait But Why?
The Marriage Decicision: Everything Forever or Nothing Ever  ,Tim Urban,9/1/18,23000,391,"[Life, Comedy]",Wait But Why?
Wait But Hi - Full Report ,Tim Urban,8/23/16,3700,71,[Random],Wait But Why?
Clueyness: A Weird Kind of Sad ,Tim Urban,5/31/16,10000,354,[Life],Wait But Why?
Mailbag #1,Tim Urban,5/6/16,1400,289,[Random],Wait But Why?
Why Cryonics Makes Sense ,Tim Urban,3/24/16,14000,769,"[Science, Life]",Wait But Why?
How I Handle Long Email Delays ,Tim Urban,3/11/16,2400,62,"[Life, Comedy]",Wait But Why?
Everything You Should Know About Sound ,Tim Urban,3/9/16,5800,81,[Science],Wait But Why?
Doing a TED Talk - Full Story  ,Tim Urban,3/2/16,10000,103,[Random],Wait But Why?
Horizontal History ,Tim Urban,1/13/16,21000,193,[History],Wait But Why?
The Tail End ,Tim Urban,11/11/15,236000,197,"[Life, Comedy]",Wait But Why?
The Cook and The Chef: Musk's Secret Sauce ,Tim Urban,11/6/15,20000,453,[Tech],Wait But Why?
How (and Why) SpaceX will Colonize Mars ,Tim Urban,8/16/15,48000,936,[Tech],Wait But Why?
Why I'm Always Late ,Tim Urban,7/7/15,78000,445,"[Life, Comedy]",Wait But Why?
How Tesla Will Change The World ,Tim Urban,7/2/15,87000,1007,[Tech],Wait But Why?
Elon Musk: The World's Raddest Man ,Tim Urban,5/7/15,87000,415,"[Tech, Life]",Wait But Why?
The Procrastination Matrix,Tim Urban,5/24/15,15000,390,[Life],Wait But Why?
"7.3 Building People, In One Building ",Tim Urban,5/3/15,4000,207,[Random],Wait But Why?
The American Presidents-Johnson To McKinley,Tim Urban,2/20/15,747,83,[Random],Wait But Why?
The AI Revolution: Our Immortality or Extinction,Tim Urban,1/27/15,25000,15300,[Tech],Wait But Why?
The AI Revolution: The Road to Superintelligence,Tim Urban,1/22/15,196000,945,[Tech],Wait But Why?
Our Most Popular Post of 2014,Tim Urban,12/31/14,411,23,[Random],Wait But Why?
The Teen Years: 9 Cringe-Inducing Realizations ,Tim Urban,12/23/14,19000,234,"[Life, Comedy, Society]",Wait But Why?
7 Ways to Be Insufferable on Facebook ,Tim Urban,7/8/13,402000,758,N/A,Wait But Why?
Medieval People In Bad Situations,Tim Urban,7/22/13,845,21,N/A,Wait But Why?
12 Types of People You'll Find In Every Host…,Tim Urban,7/25/13,63000,113,"[Society, Traveling, Comedy]",Wait But Why?
God's Wounded Ego ,Tim Urban,7/22/13,845,46,N/A,Wait But Why?
14 Shitty Sayings,Tim Urban,7/29/13,3000,95,"[Life, Comedy, Society]",Wait But Why?
The Death Toll Comparison Breakdown,Tim Urban,8/5/13,10000,227,"[History, Science, Statistics]",Wait But Why?
The Bunny Manifesto ,Tim Urban,8/9/13,21000,71,"[Animals, Comedy]",Wait But Why?
What If All 7.1 Billion People Moved To Tunisia?,Tim Urban,8/13/13,N/A,28,"[Geography, Science]",Wait But Why?
Creepy Kids In Creepy Vintage Ads,Tim Urban,8/16/13,34000,82,[Comedy],Wait But Why?
Putting Time In Perspective - UPDATED,Tim Urban,8/22/13,265000,493,"[History, Science, Tech]",Wait But Why?
7 Asinine Things About Society,Tim Urban,8/26/13,1000,72,"[Life, Comedy, Society]",Wait But Why?
The Apple Game: How Good A Person Are You?,Tim Urban,8/30/13,4000,101,"[Pyschology, Society]",Wait But Why?
All The Weird Toys From Your Childhood,Tim Urban,9/3/13,3000,70,[Comedy],Wait But Why?
Why Generation Y Yuppies Are Unhappy,Tim Urban,9/9/13,806000,1086,"[Pyschology, Selfhelp]",Wait But Why?
20 Things I Learned While I Was In North Korea ,Tim Urban,9/27/13,34000,697,"[North Korea, Traveling]",Wait But Why?
What Does a Quadrillion Sour Patch Kids Look Like?,Tim Urban,10/3/13,4000,42,"[Comedy, Math, Science]",Wait But Why?
10 Types of 30-Year-Old Single Guys ,Tim Urban,10/9/13,46000,483,"[Comedy, Society, Sports, Relationships]",Wait But Why?
The Battle To Lose the Independent Vote,Tim Urban,10/15/13,4000,74,[Politics],Wait But Why?
The Primate Awards ,Tim Urban,10/3/13,12000,38,"[Animals, Comedy]",Wait But Why?
Why Procrastinators Procrastinate,Tim Urban,10/30/13,328000,407,"[Pyschology, Selfhelp]",Wait But Why?
How To Beat Procrastination,Tim Urban,11/6/13,33000,542,"[Pyschology, Selfhelp]",Wait But Why?
4 Mind-Blowing hings About Stars,Tim Urban,11/12/13,5000,67,"[Science, Astronomy]",Wait But Why?
"Life is a Picture, But You Live in a Pixel ",Tim Urban,11/20/13,18000,107,"[Pyschology, Selfhelp]",Wait But Why?
11 Awkward Things About Email,Tim Urban,12/4/13,33000,191,[Comedy],Wait But Why?
How to Name a Baby,Tim Urban,11/11/13,128000,272,"[Science, Society]",Wait But Why?
Meet Your Ancestors (All of Them),Tim Urban,11/18/13,13000,133,"[Comedy, Society]",Wait But Why?
Wait But Why Holiday Post ,Tim Urban,12/25/13,1000,33,[Random],Wait But Why?
The Perils of Social Interaction ,Tim Urban,1/21/14,24000,105,"[Pyschology, Society, Comedy]",Wait But Why?
Everything You Don't Know About Tipping ,Tim Urban,4/1/14,210000,849,"[Science, Society]",Wait But Why?
Traveling To the Third World is Great And It Also Sucks ,Tim Urban,4/29/14,3500,179,"[Comedy, Traveling]",Wait But Why?
Your Life in Weeks ,Tim Urban,5/7/14,45000,144,"[Pyschology, Selfhelp]",Wait But Why?
10 Absurdly Famous People You Don't Know Enough About ,Tim Urban,4/14/14,2000,147,"[Famous People, History]",Wait But Why?
The Fermi Paradox,Tim Urban,5/21/14,346000,1067,"[Science, Future, Astronomy]",Wait But Why?
Why You Secretly Hate Cool Bars ,Tim Urban,5/27/14,35000,115,"[Comedy, Society]",Wait But Why?
Taming the Mammoth: Why You Should Stop Caring What Other People Think ,Tim Urban,6/13/14,92000,232,"[Pyschology, Selfhelp, Society]",Wait But Why?
Odd Things in Odd Places: Intro,Tim Urban,N/A,583,52,[Random],Wait But Why?
Russia: What You Didn't Know You Don't Know ,Tim Urban,7/11/14,2700,80,"[Traveling, Russia]",Wait But Why?
"Japan, and How I Failed to Figure it Out",Tim Urban,N/A,5700,127,"[Traveling, Japan]",Wait But Why?
19 Things I Learned in Nigeria ,Tim Urban,N/A,2900,321,"[Traveling, Nigeria]",Wait But Why?
From Muhammed to ISIS: Iraq's Full Story,Tim Urban,9/12/14,67000,282,"[Traveling, Iraq]",Wait But Why?
But What About Greenland?,Tim Urban,N/A,2700,98,"[Traveling, Greenland]",Wait But Why?
The Genie Question,Tim Urban,N/A,1600,87,[Traveling],Wait But Why?
Odd Things in Odd Places - All 7 Travel Posts ,Tim Urban,9/26/14,100,5,[Random],Wait But Why?
How Religion Got in the Way,Tim Urban,10/10/14,6400,340,"[Atheism, Religion, Spirituality]",Wait But Why?
Religion for the Nonreligious,Tim Urban,10/19/14,26000,592,"[Pyschology, Selfhelp]",Wait But Why?
The Dark Secrets of the Bird World ,Tim Urban,10/31/14,7900,74,"[Animals, Comedy]",Wait But Why?
"From 1 to 1,000,000",Tim Urban,11/14/14,2000,102,[Math],Wait But Why?
"From 1,000,000 to Graham's Number ",Tim Urban,11/20/14,9700,232,[Math],Wait But Why?
10 Types of Odd Friendships You're Probably Part Of,Tim Urban,11/8/14,56000,234,"[Comedy, Society]",Wait But Why?
What Makes You You?,Tim Urban,12/12/14,15000,474,"[Science, Philosophy, Tech]",Wait But Why?
What Could You Buy With $241 Trillion?,Tim Urban,5/25/14,6500,115,"[Math, Money, Science]",Wait But Why?
Why Soprts Fans are Sports Fans,Tim Urban,5/18/14,4500,58,"[Pyschology, Society, Comedy, Sports]",Wait But Why?
Why is My Laptop On?,Tim Urban,5/12/14,1100,73,"[Comedy, Science]",Wait But Why?
The American Presidents-Washington To Lincoln,Tim Urban,2/9/14,4200,106,[History],Wait But Why?
How To Pick Your Life Partner - Part 2,Tim Urban,2/13/14,63000,155,"[Pyschology, Selfhelp, Relationships]",Wait But Why?
How To Pick Your Life Partner - Part 1,Tim Urban,2/12/14,110000,202,"[Pyschology, Selfhelp, Relationships]",Wait But Why?
Why Bugs Ruin Everything,Tim Urban,2/4/14,8000,303,"[Animals, Comedy]",Wait But Why?
"Your Family: Past, Present, Future",Tim Urban,1/28/14,41000,154,"[Science, History, Genealogy]",Wait But Why?